Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","LED green","LED_0805_2012Metric",173.587500,-109.200000,180.000000,bottom
"D2","LED red","LED_0805_2012Metric",111.750000,-128.200000,90.000000,bottom
"J1","JST-PH2 Bat","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",224.900000,-113.950000,-90.000000,bottom
"J4","SM06B-GHS-TB_LF_SN","JST_SM06B-GHS-TB_LF_SN",123.650000,-103.350000,0.000000,bottom
"J6","Conn_Display","JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical",170.500000,-162.050000,180.000000,bottom
"J9","Conn_I2C0","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",148.540000,-102.950000,0.000000,bottom
"J11","Conn_I2C1","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",133.650000,-103.550000,0.000000,bottom
"R11","1K","R_0402_1005Metric",170.337500,-109.200000,0.000000,bottom
"R12","330Ω","R_0402_1005Metric",114.150000,-123.200000,0.000000,bottom
"S1","JS202011JCQN","SW_JS202011JCQN",170.505000,-104.550000,90.000000,bottom
"SW1","SW_Push","SW_SPST_B3S-1000",133.300000,-129.875000,-90.000000,bottom
"SW2","SW_Push","SW_SPST_B3S-1000",125.000000,-129.875000,-90.000000,bottom
"SW3","SW_Push","SW_SPST_B3S-1000",116.850000,-129.900000,-90.000000,bottom
"SW4","SW_Push","SW_SPST_B3S-1000",154.200000,-158.750000,-90.000000,bottom
"SW5","SW_Push","SW_SPST_B3S-1000",143.600000,-158.700000,-90.000000,bottom
"U6","AHT20","AHT20",106.950000,-116.650000,0.000000,bottom
"AE1","Antenna_u.FL","U.FL_Hirose_U.FL-R-SMT-1_Vertical",116.850000,-162.226000,-90.000000,top
"BT1","Coin_Cell","CR2032_Holder",170.700000,-124.075000,90.000000,top
"BT2","Battery","BatteryHolder_Keystone_2462_2xAA",199.350000,-105.200000,-90.000000,top
"C1","100nF","C_0402_1005Metric",152.250000,-117.850000,90.000000,top
"C2","100nF","C_0402_1005Metric",144.980000,-116.140000,0.000000,top
"C3","100nF","C_0402_1005Metric",152.500000,-143.250000,0.000000,top
"C4","100nF","C_0402_1005Metric",103.850000,-111.820000,90.000000,top
"C5","10µF","C_0603_1608Metric",104.850000,-113.650000,180.000000,top
"C6","10µF","C_0603_1608Metric",124.100000,-158.450000,0.000000,top
"IC1","LM66200DRLR","LM66200DRLR",179.140000,-105.300000,0.000000,top
"J2","Conn_Pico_Left","PinSocket_1x20_P2.54mm_Vertical",139.650000,-101.650000,0.000000,top
"J3","Conn_Pico_Right","PinSocket_1x20_P2.54mm_Vertical",157.430000,-101.650000,0.000000,top
"Q1","AO3401A","SOT-23",161.450000,-111.000000,0.000000,top
"Q2","AO3401A","SOT-23",161.450000,-103.250000,0.000000,top
"R1","100K","R_0402_1005Metric",145.000000,-118.500000,90.000000,top
"R2","10K","R_0402_1005Metric",153.400000,-118.900000,-90.000000,top
"R3","10K","R_0402_1005Metric",143.090000,-110.935000,0.000000,top
"R4","10K","R_0402_1005Metric",143.090000,-112.205000,0.000000,top
"R5","10K","R_0402_1005Metric",159.800000,-146.900000,-90.000000,top
"R6","100K","R_0402_1005Metric",159.800000,-149.750000,90.000000,top
"R7","10K","R_0402_1005Metric",154.550000,-129.600000,0.000000,top
"R8","220Ω","R_0402_1005Metric",107.050000,-113.450000,90.000000,top
"R9","10K","R_0402_1005Metric",135.350000,-109.100000,-90.000000,top
"R10","10K","R_0402_1005Metric",134.050000,-109.060000,-90.000000,top
"U1","74LVC2G74","TSSOP-8_3x3mm_P0.65mm",148.650000,-118.950000,0.000000,top
"U2","PCF8523T","SOIC-8_3.9x4.9mm_P1.27mm",147.790000,-112.840000,180.000000,top
"U4","XTSD","XTSD",148.350000,-147.255000,0.000000,top
"U7","RFM95W-868S2","HOPERF_RFM9XW_SMD",123.850000,-148.200000,-90.000000,top
"Y1","Crystal","Crystal_SMD_3215-2Pin_3.2x1.5mm",152.890000,-114.040000,90.000000,top
