Comment,Designator,Footprint,LCSC
1K,R11,R_0402_1005Metric,C11702
SM06B-GHS-TB_LF_SN,J4,JST_SM06B-GHS-TB_LF_SN,C133065
AO3401A,"Q1,Q2",SOT-23,C15127
100nF,"C1,C2,C3,C4",C_0402_1005Metric,C1525
Conn_I2C1,"J11,J9",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
10µF,"C5,C6",C_0603_1608Metric,C19702
JS202011JCQN,S1,SW_JS202011JCQN,C221665
SW_Push,"SW1,SW2,SW3,SW4,SW5",SW_SPST_B3S-1000,C221869
LED green,D1,LED_0805_2012Metric,C2297
220Ω,R8,R_0402_1005Metric,C25091
330Ω,R12,R_0402_1005Metric,C25104
100K,"R1,R6",R_0402_1005Metric,C25741
10K,"R10,R2,R3,R4,R5,R7,R9",R_0402_1005Metric,C25744
PCF8523T,U2,SOIC-8_3.9x4.9mm_P1.27mm,C2651516
74LVC2G74,U1,TSSOP-8_3x3mm_P0.65mm,C282355
RFM95W-868S2,U7,HOPERF_RFM9XW_SMD,C2844472
JST-PH2 Bat,J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C295747
AHT20,U6,AHT20,C3012622
Battery,BT2,BatteryHolder_Keystone_2462_2xAA,C3029547
Crystal,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346
LM66200DRLR,IC1,LM66200DRLR,C3235556
Conn_Pico_Left,"J2,J3",PinSocket_1x20_P2.54mm_Vertical,C429947
Conn_Display,J6,JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical,C5143489
XTSD,U4,XTSD,C7429710
LED red,D2,LED_0805_2012Metric,C84256
Antenna_u.FL,AE1,U.FL_Hirose_U.FL-R-SMT-1_Vertical,C88374
Coin_Cell,BT1,CR2032_Holder,C964777
